,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESDTC_20230216002023030300T.scan,1,24,-0.057,-0.156,-0.005,-0.163,-0.01,-0.116,-0.165,0.0,0.0,0.0,-1.086,-3.093,-4.08,-0.018,-0.008,-0.079,-0.011,0.025,-0.085
VIESDTC_20230216002023030300T.scan,2,48,-0.097,-0.264,0.003,-0.277,-0.005,-0.182,-0.326,0.0,0.0,0.0,-2.061,-5.221,-5.909,-0.032,-0.022,-0.068,0.021,-0.026,-0.04
VIESDTC_20230216002023030300T.scan,3,72,-0.114,-0.328,-0.009,-0.347,-0.018,-0.303,-0.413,0.0,0.0,0.0,-2.616,-6.759,-8.192,-0.008,-0.014,-0.052,0.062,-0.018,-0.106
VIESDTC_20230216002023030300T.scan,4,96,-0.14,-0.373,-0.039,-0.395,-0.05,-0.444,-0.463,0.0,0.0,0.0,-2.932,-7.859,-10.627,-0.061,-0.06,-0.046,0.04,0.014,-0.138
VIESDTC_20230216002023030300T.scan,5,120,-0.148,-0.399,-0.096,-0.425,-0.107,-0.579,-0.503,0.0,0.0,0.0,-3.272,-9.085,-13.49,-0.068,-0.101,0.002,0.041,0.039,-0.18
VIESDTC_20230216002023030300T.scan,6,144,-0.174,-0.453,-0.182,-0.48,-0.194,-0.678,-0.542,0.0,0.0,0.0,-3.657,-10.621,-16.929,-0.037,-0.061,0.074,0.064,0.018,-0.138
VIESDTC_20230216002023030300T.scan,7,168,-0.204,-0.521,-0.264,-0.55,-0.275,-0.699,-0.613,0.0,0.0,0.0,-4.433,-12.764,-20.079,0.06,-0.002,0.195,0.072,0.028,-0.162
VIESDTC_20230216002023030300T.scan,8,192,-0.252,-0.595,-0.326,-0.625,-0.338,-0.715,-0.72,0.0,0.0,0.0,-5.348,-14.797,-22.782,0.086,0.021,0.259,0.046,0.039,-0.132
VIESDTC_20230216002023030300T.scan,9,216,-0.315,-0.664,-0.362,-0.694,-0.375,-0.739,-0.787,0.0,0.0,0.0,-5.985,-16.135,-24.207,0.077,-0.002,0.238,0.047,0.042,-0.102
VIESDTC_20230216002023030300T.scan,10,240,-0.372,-0.721,-0.4,-0.752,-0.413,-0.735,-0.823,0.0,0.0,0.0,-6.284,-17.067,-25.288,0.092,-0.035,0.184,0.066,0.045,-0.103
VIESDTC_20230216002023030300T.scan,11,264,-0.392,-0.746,-0.442,-0.776,-0.455,-0.772,-0.812,0.0,0.0,0.0,-6.144,-17.485,-26.25,0.104,-0.04,0.224,0.06,0.043,-0.104
RMSEDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEDTC_20230216002023030300T.scan,1,24,1.86,1.656,0.903,1.656,0.903,1.111,2.601,0.001,0.001,0.0,21.023,22.638,25.682,2.546,2.618,3.607,2.427,2.584,3.701
RMSEDTC_20230216002023030300T.scan,2,48,2.64,2.446,1.512,2.437,1.507,1.699,3.835,0.001,0.001,0.001,29.02,32.31,38.549,3.862,3.968,5.529,3.72,3.979,5.688
RMSEDTC_20230216002023030300T.scan,3,72,3.21,3.061,2.078,3.036,2.068,2.232,4.955,0.001,0.001,0.001,36.938,44.39,55.276,4.863,5.262,7.377,4.669,5.338,7.641
RMSEDTC_20230216002023030300T.scan,4,96,3.654,3.556,2.581,3.517,2.567,2.703,6.072,0.001,0.002,0.001,45.719,57.165,72.75,5.698,6.503,9.131,5.54,6.62,9.598
RMSEDTC_20230216002023030300T.scan,5,120,4.028,3.977,3.051,3.923,3.032,3.107,6.918,0.001,0.002,0.001,52.514,69.742,90.608,6.304,7.585,10.747,6.2,7.89,11.543
RMSEDTC_20230216002023030300T.scan,6,144,4.299,4.349,3.52,4.281,3.499,3.442,7.808,0.002,0.002,0.001,60.064,82.761,109.552,6.788,8.444,12.103,6.829,9.038,13.142
RMSEDTC_20230216002023030300T.scan,7,168,4.583,4.703,3.96,4.625,3.935,3.69,8.749,0.002,0.002,0.001,68.161,94.637,125.828,7.288,9.21,13.13,7.272,9.766,14.174
RMSEDTC_20230216002023030300T.scan,8,192,4.808,5.014,4.309,4.925,4.282,3.878,9.698,0.002,0.002,0.001,76.051,106.423,142.474,7.752,10.026,14.452,7.65,10.284,15.029
RMSEDTC_20230216002023030300T.scan,9,216,4.94,5.202,4.573,5.105,4.544,4.091,10.411,0.002,0.002,0.001,82.232,116.67,155.973,8.178,10.738,15.386,7.969,10.911,15.93
RMSEDTC_20230216002023030300T.scan,10,240,5.009,5.286,4.747,5.186,4.717,4.227,10.94,0.002,0.002,0.001,86.52,122.827,164.65,8.412,11.147,16.156,8.231,11.294,16.6
RMSEDTC_20230216002023030300T.scan,11,264,5.126,5.398,4.814,5.298,4.784,4.335,11.059,0.002,0.002,0.001,87.571,125.418,167.963,8.503,11.352,16.505,8.24,11.409,16.655
ACORDTC_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORDTC_20230216002023030300T.scan,1,24,0.994,0.994,0.998,0.994,0.998,0.988,0.999,0.993,0.987,0.974,0.99,0.998,0.999,0.962,0.978,0.98,0.936,0.962,0.966
ACORDTC_20230216002023030300T.scan,2,48,0.987,0.988,0.993,0.987,0.993,0.97,0.999,0.982,0.962,0.92,0.983,0.996,0.998,0.912,0.948,0.953,0.85,0.909,0.916
ACORDTC_20230216002023030300T.scan,3,72,0.981,0.981,0.987,0.98,0.987,0.948,0.998,0.972,0.94,0.867,0.972,0.992,0.995,0.86,0.908,0.916,0.759,0.834,0.844
ACORDTC_20230216002023030300T.scan,4,96,0.975,0.974,0.98,0.973,0.98,0.923,0.997,0.964,0.925,0.82,0.956,0.986,0.991,0.805,0.859,0.869,0.659,0.74,0.748
ACORDTC_20230216002023030300T.scan,5,120,0.97,0.968,0.972,0.966,0.972,0.898,0.996,0.957,0.912,0.782,0.94,0.979,0.986,0.757,0.805,0.815,0.566,0.628,0.631
ACORDTC_20230216002023030300T.scan,6,144,0.965,0.961,0.962,0.96,0.962,0.875,0.995,0.95,0.903,0.753,0.919,0.97,0.98,0.71,0.752,0.763,0.466,0.506,0.518
ACORDTC_20230216002023030300T.scan,7,168,0.96,0.955,0.953,0.953,0.952,0.855,0.994,0.944,0.894,0.73,0.893,0.961,0.973,0.659,0.701,0.72,0.387,0.411,0.433
ACORDTC_20230216002023030300T.scan,8,192,0.956,0.948,0.944,0.946,0.944,0.84,0.992,0.938,0.887,0.71,0.866,0.95,0.966,0.611,0.643,0.66,0.319,0.338,0.356
ACORDTC_20230216002023030300T.scan,9,216,0.954,0.944,0.937,0.942,0.937,0.822,0.991,0.934,0.881,0.681,0.841,0.94,0.959,0.563,0.587,0.611,0.271,0.261,0.283
ACORDTC_20230216002023030300T.scan,10,240,0.953,0.943,0.932,0.941,0.932,0.809,0.99,0.931,0.876,0.659,0.824,0.933,0.954,0.533,0.55,0.569,0.231,0.21,0.228
ACORDTC_20230216002023030300T.scan,11,264,0.95,0.94,0.93,0.938,0.929,0.799,0.99,0.93,0.874,0.643,0.816,0.93,0.952,0.514,0.527,0.546,0.233,0.193,0.217
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,-0.221,-0.285,0.17,-0.29,0.16,0.039,-0.167,0.0,0.0,0.0,-1.402,-2.19,0.213,-0.01,-0.004,-0.238,0.066,0.022,-0.059
VIESBAMH_20230216002023030300T.scan,2,48,-0.314,-0.432,0.288,-0.444,0.274,0.068,-0.347,0.0,0.0,0.0,-2.709,-3.669,1.521,0.024,-0.022,-0.305,0.131,-0.056,0.022
VIESBAMH_20230216002023030300T.scan,3,72,-0.328,-0.494,0.335,-0.513,0.319,0.049,-0.452,0.0,0.0,0.0,-3.431,-4.577,1.744,0.073,-0.013,-0.378,0.149,-0.07,0.057
VIESBAMH_20230216002023030300T.scan,4,96,-0.342,-0.537,0.35,-0.561,0.332,0.0,-0.497,0.0,0.0,0.0,-3.596,-5.154,1.664,0.059,-0.051,-0.488,0.149,-0.075,0.063
VIESBAMH_20230216002023030300T.scan,5,120,-0.333,-0.545,0.327,-0.572,0.308,-0.053,-0.557,0.0,0.0,0.0,-3.998,-5.997,0.472,0.053,-0.071,-0.525,0.149,-0.049,0.041
VIESBAMH_20230216002023030300T.scan,6,144,-0.34,-0.585,0.282,-0.614,0.262,-0.099,-0.619,0.0,0.0,0.0,-4.652,-7.318,-1.427,0.06,-0.012,-0.478,0.126,-0.055,0.071
VIESBAMH_20230216002023030300T.scan,7,168,-0.366,-0.644,0.245,-0.674,0.224,-0.114,-0.645,0.0,0.0,0.0,-5.08,-8.648,-2.98,0.115,0.03,-0.408,0.095,-0.027,0.078
VIESBAMH_20230216002023030300T.scan,8,192,-0.41,-0.708,0.218,-0.742,0.198,-0.101,-0.73,0.0,0.0,0.0,-5.82,-10.242,-4.262,0.147,0.027,-0.344,0.099,-0.021,0.107
VIESBAMH_20230216002023030300T.scan,9,216,-0.478,-0.766,0.209,-0.8,0.188,-0.069,-0.814,0.0,0.0,0.0,-6.446,-11.357,-4.423,0.136,-0.018,-0.339,0.1,-0.015,0.122
VIESBAMH_20230216002023030300T.scan,10,240,-0.524,-0.817,0.19,-0.851,0.169,-0.012,-0.909,0.0,0.0,0.0,-7.26,-12.823,-4.889,0.179,-0.017,-0.366,0.111,-0.009,0.1
VIESBAMH_20230216002023030300T.scan,11,264,-0.553,-0.867,0.114,-0.903,0.092,0.004,-0.985,0.0,0.0,0.0,-7.866,-14.694,-6.905,0.227,0.038,-0.322,0.107,0.001,0.043
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,2.293,2.015,1.213,2.021,1.213,1.399,2.931,0.001,0.001,0.0,23.836,26.009,30.259,3.4,3.317,4.645,3.312,3.33,4.783
RMSEBAMH_20230216002023030300T.scan,2,48,3.063,2.8,1.826,2.798,1.822,1.97,4.198,0.001,0.001,0.001,31.976,35.532,43.333,4.527,4.595,6.416,4.381,4.673,6.665
RMSEBAMH_20230216002023030300T.scan,3,72,3.575,3.364,2.375,3.348,2.365,2.466,5.351,0.001,0.002,0.001,40.178,47.636,59.984,5.412,5.788,8.105,5.245,5.936,8.437
RMSEBAMH_20230216002023030300T.scan,4,96,3.96,3.822,2.804,3.793,2.79,2.871,6.3,0.002,0.002,0.001,47.745,59.415,75.079,6.127,6.884,9.66,5.967,7.077,10.111
RMSEBAMH_20230216002023030300T.scan,5,120,4.26,4.19,3.223,4.146,3.206,3.2,7.165,0.002,0.002,0.001,54.6,71.735,91.205,6.666,7.954,11.083,6.561,8.171,11.75
RMSEBAMH_20230216002023030300T.scan,6,144,4.557,4.598,3.658,4.54,3.638,3.494,8.049,0.002,0.002,0.001,61.828,83.732,107.749,7.189,8.794,12.271,7.112,9.259,13.236
RMSEBAMH_20230216002023030300T.scan,7,168,4.804,4.908,4.018,4.841,3.995,3.737,8.947,0.002,0.002,0.001,69.644,95.223,122.043,7.576,9.553,13.284,7.55,9.916,14.083
RMSEBAMH_20230216002023030300T.scan,8,192,4.986,5.162,4.287,5.086,4.262,3.919,9.743,0.002,0.002,0.001,76.324,104.79,134.25,7.95,10.137,14.213,7.966,10.518,15.015
RMSEBAMH_20230216002023030300T.scan,9,216,5.198,5.414,4.561,5.327,4.532,4.047,10.53,0.002,0.002,0.001,82.833,115.134,148.129,8.299,10.771,15.109,8.212,11.12,15.803
RMSEBAMH_20230216002023030300T.scan,10,240,5.256,5.519,4.79,5.429,4.761,4.112,11.147,0.002,0.002,0.001,87.833,123.27,159.39,8.549,11.224,15.962,8.317,11.423,16.491
RMSEBAMH_20230216002023030300T.scan,11,264,5.334,5.62,4.928,5.53,4.899,4.246,11.716,0.002,0.002,0.001,92.106,129.01,165.528,8.761,11.636,16.44,8.356,11.606,16.739
ACORBAMH_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH_20230216002023030300T.scan,1,24,0.99,0.992,0.996,0.991,0.996,0.98,0.999,0.987,0.976,0.938,0.988,0.997,0.999,0.934,0.966,0.969,0.889,0.941,0.945
ACORBAMH_20230216002023030300T.scan,2,48,0.983,0.985,0.991,0.984,0.991,0.959,0.999,0.973,0.946,0.873,0.979,0.995,0.997,0.883,0.934,0.939,0.803,0.882,0.89
ACORBAMH_20230216002023030300T.scan,3,72,0.976,0.978,0.985,0.976,0.985,0.935,0.998,0.964,0.927,0.825,0.967,0.991,0.994,0.831,0.893,0.9,0.715,0.805,0.817
ACORBAMH_20230216002023030300T.scan,4,96,0.971,0.971,0.979,0.969,0.978,0.911,0.997,0.956,0.912,0.785,0.952,0.985,0.991,0.779,0.847,0.855,0.627,0.718,0.729
ACORBAMH_20230216002023030300T.scan,5,120,0.966,0.965,0.971,0.963,0.971,0.888,0.996,0.95,0.902,0.757,0.936,0.978,0.986,0.733,0.792,0.805,0.538,0.62,0.626
ACORBAMH_20230216002023030300T.scan,6,144,0.961,0.958,0.962,0.956,0.962,0.864,0.995,0.943,0.892,0.732,0.915,0.97,0.98,0.68,0.74,0.758,0.444,0.503,0.518
ACORBAMH_20230216002023030300T.scan,7,168,0.957,0.951,0.953,0.949,0.953,0.844,0.994,0.939,0.885,0.708,0.889,0.96,0.974,0.636,0.689,0.713,0.371,0.417,0.444
ACORBAMH_20230216002023030300T.scan,8,192,0.953,0.946,0.947,0.944,0.946,0.828,0.992,0.934,0.879,0.686,0.864,0.952,0.969,0.59,0.64,0.665,0.303,0.344,0.363
ACORBAMH_20230216002023030300T.scan,9,216,0.949,0.941,0.939,0.938,0.939,0.815,0.991,0.929,0.87,0.666,0.837,0.941,0.962,0.548,0.587,0.616,0.257,0.27,0.299
ACORBAMH_20230216002023030300T.scan,10,240,0.948,0.939,0.932,0.936,0.932,0.808,0.99,0.928,0.867,0.643,0.816,0.933,0.955,0.516,0.549,0.57,0.23,0.225,0.242
